model,diff,ci_low,ci_high,p_two_sided
logreg,0.01025942360864951,-0.00144833625948326,0.02509850897987421,0.085
xgboost,0.009553444394080679,-0.006366964723918775,0.027317618555388327,0.266
mlp,0.017251044396475734,0.002090730481142805,0.033004361295724434,0.023
