metric,value,ci_low,ci_high,universe,model
accuracy,0.9635974304068522,0.9550321199143469,0.9721761241970022,protein_coding,logreg
balanced_accuracy,0.9367796177021573,0.9188766226252747,0.9528784642949129,protein_coding,logreg
macro_f1,0.9354091827660724,0.9144853702480141,0.9510431061545109,protein_coding,logreg
top3_accuracy,0.9951820128479657,0.9919700214132763,0.9978586723768736,protein_coding,logreg
log_loss,0.10775630921125412,0.0848643198609352,0.13256441578269004,protein_coding,logreg
ece,0.006352440416174774,0.005747140031826483,0.015907846749371297,protein_coding,logreg
