universe,model,n,accuracy,accuracy_ci_low,accuracy_ci_high,top3_accuracy,top3_accuracy_ci_low,top3_accuracy_ci_high
lncRNA,logreg,364,0.9285714285714286,0.9038461538461539,0.9532967032967034,0.9642857142857143,0.945054945054945,0.9807692307692307
lncRNA,xgboost,364,0.9010989010989011,0.8708791208791209,0.9313186813186813,0.9505494505494505,0.9285714285714286,0.9725274725274725
lncRNA,mlp,364,0.9340659340659341,0.9093406593406593,0.9587912087912088,0.9725274725274725,0.9560439560439561,0.989010989010989
protein_coding,logreg,364,0.9010989010989011,0.8708791208791209,0.9313186813186813,0.967032967032967,0.9505494505494505,0.9835164835164835
protein_coding,xgboost,364,0.8901098901098901,0.8571428571428571,0.9203296703296703,0.967032967032967,0.9478021978021978,0.9835851648351647
protein_coding,mlp,364,0.9203296703296703,0.8927884615384616,0.9478021978021978,0.9697802197802198,0.9532967032967034,0.9862637362637363
