metric,value,ci_low,ci_high,universe,model
accuracy,0.9630620985010707,0.9544967880085653,0.971627408993576,lncRNA,xgboost
balanced_accuracy,0.9385804454766776,0.924734878725741,0.9511522811310273,lncRNA,xgboost
macro_f1,0.9358502539366601,0.9181075444921845,0.9492683448815064,lncRNA,xgboost
top3_accuracy,0.9967880085653105,0.9941113490364025,0.9989293361884368,lncRNA,xgboost
log_loss,0.12115633487701416,0.09727762397378684,0.14576210901141165,lncRNA,xgboost
ece,0.007641894268210974,0.0075041770119403245,0.01814363597906181,lncRNA,xgboost
