gene_id,gene_name,gene_type,mean_abs_shap
ENSG00000132204.13,LINC00470,lincRNA,0.032020755
ENSG00000251321.1,PCAT4,lincRNA,0.03198573
ENSG00000274630.1,RP11-229E13.4,antisense,0.03198151
ENSG00000235298.1,RP11-575L7.8,antisense,0.031880893
ENSG00000185168.5,LINC00482,lincRNA,0.031804547
ENSG00000219545.9,UMAD1,antisense,0.031800956
ENSG00000273204.1,RP4-549L20.3,antisense,0.031761073
ENSG00000247982.6,LINC00926,lincRNA,0.031715948
ENSG00000275620.1,FLJ16779,antisense,0.03168024
ENSG00000227070.1,RP11-191G24.1,antisense,0.031660464
ENSG00000243762.1,AC006547.8,antisense,0.031652022
ENSG00000215386.10,MIR99AHG,lincRNA,0.03165174
ENSG00000273032.1,DGCR9,lincRNA,0.03162695
ENSG00000259459.5,RP11-321G12.1,lincRNA,0.031604033
ENSG00000267405.1,CTC-296K1.4,lincRNA,0.031600863
ENSG00000230234.1,RP1-276N6.2,lincRNA,0.031559233
ENSG00000274712.1,RP11-147L13.15,lincRNA,0.03148657
ENSG00000258763.5,RP11-110A12.2,antisense,0.031479657
ENSG00000235092.5,ID2-AS1,antisense,0.031446386
ENSG00000255145.2,STX17-AS1,antisense,0.03142242
ENSG00000275888.1,RP13-516M14.10,antisense,0.031267494
ENSG00000272931.1,RP5-943J3.2,lincRNA,0.031247925
ENSG00000255650.5,FAM222A-AS1,antisense,0.031008983
ENSG00000277701.4,RP11-734K23.9,lincRNA,0.030942684
ENSG00000272221.1,XXbac-BPG181B23.7,lincRNA,0.030815203
ENSG00000277978.1,RP11-403P17.6,antisense,0.030805804
ENSG00000256751.5,PLBD1-AS1,antisense,0.03070513
ENSG00000248587.6,GDNF-AS1,lincRNA,0.030672371
ENSG00000236144.6,TMEM147-AS1,antisense,0.030611962
ENSG00000274964.1,RP11-817I4.1,sense_intronic,0.030604327
ENSG00000230387.2,RP4-737E23.2,lincRNA,0.030598776
ENSG00000277639.1,RP11-295M3.4,lincRNA,0.030428547
ENSG00000272273.1,XXbac-BPG252P9.10,antisense,0.030410707
ENSG00000260766.1,RP11-226L15.5,sense_overlapping,0.030349609
ENSG00000228705.1,LINC00659,antisense,0.030302027
ENSG00000263165.1,RP11-810M2.2,antisense,0.030249497
ENSG00000270419.1,CAHM,lincRNA,0.030202784
ENSG00000233968.6,RP11-354E11.2,antisense,0.030153977
ENSG00000232386.9,RP11-66B24.2,lincRNA,0.030147964
ENSG00000272841.1,RP3-428L16.2,antisense,0.030047348
ENSG00000238005.2,RP11-443B7.1,lincRNA,0.029987186
ENSG00000236859.6,NIFK-AS1,antisense,0.029958373
ENSG00000276026.1,RP4-545L17.11,antisense,0.029938681
ENSG00000259417.2,LINC01314,lincRNA,0.02988839
ENSG00000258314.3,CTD-2314B22.1,lincRNA,0.029877836
ENSG00000265263.1,RP11-135L13.4,antisense,0.029786328
ENSG00000277067.4,CH507-254M2.1,lincRNA,0.029725563
ENSG00000251432.6,RP11-420A23.1,lincRNA,0.029722929
ENSG00000246090.6,RP11-696N14.1,antisense,0.029700609
ENSG00000231528.2,FAM225A,lincRNA,0.02960603
ENSG00000267270.5,PARD6G-AS1,antisense,0.029568823
ENSG00000229043.2,AC091729.9,antisense,0.029567484
ENSG00000267886.1,CTD-2291D10.4,lincRNA,0.029567003
ENSG00000275185.1,RP13-753N3.3,antisense,0.029508656
ENSG00000215241.3,RP11-266K4.9,lincRNA,0.029500308
ENSG00000263873.1,RP11-334E6.12,sense_intronic,0.029469281
ENSG00000254416.5,RP11-347E10.1,lincRNA,0.029464236
ENSG00000223534.1,HLA-DQB1-AS1,antisense,0.029452963
