variant,n_genes,macro_f1,ci_low,ci_high
autosomal (main analysis),14043,0.9456686063747219,0.9280313562768622,0.958903384440591
with chrX/chrY lncRNAs,14384,0.943418562076008,0.9262592762940896,0.9567828922520721
