metric,value,ci_low,ci_high,universe,model
accuracy,0.9662740899357601,0.9582441113490364,0.974304068522484,lncRNA,logreg
balanced_accuracy,0.9463241098386027,0.9312152601759419,0.9610733758037198,lncRNA,logreg
macro_f1,0.9456686063747219,0.9280313562768622,0.958903384440591,lncRNA,logreg
top3_accuracy,0.9962526766595289,0.9935760171306209,0.9983940042826552,lncRNA,logreg
log_loss,0.10079768300056458,0.07942454889416695,0.12379164937883615,lncRNA,logreg
ece,0.010742157163214075,0.008241650768270499,0.019121607361516916,lncRNA,logreg
