metric,value,ci_low,ci_high,universe,model
accuracy,0.9582441113490364,0.9486081370449678,0.9668094218415417,protein_coding,mlp
balanced_accuracy,0.9247273154702023,0.9090690624980673,0.9389570020989084,protein_coding,mlp
macro_f1,0.9215468487156173,0.9026237785876414,0.9345498498996283,protein_coding,mlp
top3_accuracy,0.9957173447537473,0.9930406852248393,0.9983940042826552,protein_coding,mlp
log_loss,0.1440865844488144,0.1243686493486166,0.1649934019893408,protein_coding,mlp
ece,0.03191344922595922,0.03011679003031114,0.04124364967495842,protein_coding,mlp
