metric,value,ci_low,ci_high,universe,model
accuracy,0.9646680942184154,0.9561027837259101,0.9732334047109208,lncRNA,mlp
balanced_accuracy,0.941721761013563,0.9282001858445954,0.9544450207668612,lncRNA,mlp
macro_f1,0.938797893112093,0.9217704853962373,0.9523091999230733,lncRNA,mlp
top3_accuracy,0.9962526766595289,0.9935626338329764,0.9983940042826552,lncRNA,mlp
log_loss,0.16012556850910187,0.13811610266566277,0.18235364221036432,lncRNA,mlp
ece,0.05084491589722844,0.04503107133941678,0.05897438015661163,lncRNA,mlp
