metric,value,ci_low,ci_high,universe,model
accuracy,0.9598501070663812,0.9502141327623126,0.968428800856531,protein_coding,xgboost
balanced_accuracy,0.9279860225157145,0.909838791213563,0.9444908658891433,protein_coding,xgboost
macro_f1,0.9262968095425794,0.9043789934315954,0.9418682440022783,protein_coding,xgboost
top3_accuracy,0.9946466809421841,0.9914346895074947,0.9978586723768736,protein_coding,xgboost
log_loss,0.12972848117351532,0.10175960101187229,0.1612140338867903,protein_coding,xgboost
ece,0.011408563687344466,0.009427452143640675,0.02191442936176246,protein_coding,xgboost
